2024-07-11_14-10-53,Model_Inference,0.041997,fp16,554
Filename,Operation,Time_s,Mode,keypoints
2024-07-10_15-52-36,Model_Inference,0.035517,fp16,281
2024-07-11_14-13-51,Model_Inference,0.028184,fp16,442
2024-07-11_14-06-07,Model_Inference,0.032552,fp16,435
2024-07-11_14-14-24,Model_Inference,0.030074,fp16,412
2024-07-10_15-52-37,Model_Inference,0.026964,fp16,293
2024-07-11_14-16-32,Model_Inference,0.021934,fp16,429
2024-07-10_15-51-48,Model_Inference,0.029477,fp16,313
2024-07-11_14-05-35,Model_Inference,0.028533,fp16,432
2024-07-10_15-38-54,Model_Inference,0.033574,fp16,448
2024-07-10_15-50-55,Model_Inference,0.028832,fp16,316
2024-07-10_15-41-46,Model_Inference,0.024997,fp16,401
2024-07-10_15-51-45,Model_Inference,0.024483,fp16,282
2024-07-11_14-03-31,Model_Inference,0.030886,fp16,491
2024-07-10_15-54-07,Model_Inference,0.037728,fp16,294
2024-07-11_14-17-59,Model_Inference,0.030417,fp16,334
2024-07-10_15-44-58,Model_Inference,0.025375,fp16,365
2024-07-11_14-02-35,Model_Inference,0.019622,fp16,584
2024-07-10_15-43-03,Model_Inference,0.025424,fp16,319
2024-07-10_15-40-03,Model_Inference,0.018964,fp16,509
2024-07-11_14-18-28,Model_Inference,0.026315,fp16,380
2024-07-10_15-48-15,Model_Inference,0.020248,fp16,323
2024-07-11_14-04-22,Model_Inference,0.029262,fp16,536
2024-07-10_15-43-56,Model_Inference,0.025306,fp16,360
2024-07-11_14-13-12,Model_Inference,0.038750,fp16,487
2024-07-10_15-53-12,Model_Inference,0.020681,fp16,292
2024-07-11_14-12-14,Model_Inference,0.022223,fp16,474
2024-07-11_14-17-18,Model_Inference,0.023580,fp16,406
2024-07-10_15-51-21,Model_Inference,0.029311,fp16,322
2024-07-11_14-15-08,Model_Inference,0.030143,fp16,406
2024-07-11_14-19-12,Model_Inference,0.026457,fp16,356
2024-07-10_15-40-53,Model_Inference,0.022146,fp16,399
