2024-07-10_15-48-15,Model_Inference,0.006138,fp16,324
2024-07-10_15-43-03,Model_Inference,0.005893,fp16,315
2024-07-11_14-15-08,Model_Inference,0.006216,fp16,397
2024-07-11_14-13-51,Model_Inference,0.006189,fp16,440
2024-07-11_14-18-28,Model_Inference,0.006179,fp16,385
2024-07-10_15-41-46,Model_Inference,0.005956,fp16,400
2024-07-11_14-03-31,Model_Inference,0.006163,fp16,485
2024-07-11_14-16-32,Model_Inference,0.002999,fp16,424
2024-07-11_14-14-24,Model_Inference,0.002957,fp16,409
2024-07-10_15-40-03,Model_Inference,0.002992,fp16,513
2024-07-10_15-51-48,Model_Inference,0.002981,fp16,321
2024-07-10_15-52-36,Model_Inference,0.002927,fp16,286
2024-07-10_15-43-56,Model_Inference,0.002940,fp16,358
2024-07-11_14-12-14,Model_Inference,0.002956,fp16,473
2024-07-11_14-19-12,Model_Inference,0.002926,fp16,355
2024-07-10_15-44-58,Model_Inference,0.002970,fp16,369
2024-07-11_14-02-35,Model_Inference,0.002982,fp16,578
2024-07-11_14-10-53,Model_Inference,0.002983,fp16,549
2024-07-10_15-40-53,Model_Inference,0.002945,fp16,388
2024-07-10_15-54-07,Model_Inference,0.002929,fp16,298
2024-07-11_14-13-12,Model_Inference,0.002961,fp16,488
2024-07-11_14-05-35,Model_Inference,0.002953,fp16,435
2024-07-11_14-17-18,Model_Inference,0.002938,fp16,400
2024-07-10_15-53-12,Model_Inference,0.002928,fp16,294
2024-07-11_14-06-07,Model_Inference,0.002941,fp16,436
2024-07-10_15-51-45,Model_Inference,0.002961,fp16,281
2024-07-10_15-38-54,Model_Inference,0.002945,fp16,450
2024-07-10_15-51-21,Model_Inference,0.002941,fp16,319
2024-07-11_14-04-22,Model_Inference,0.003008,fp16,539
2024-07-11_14-17-59,Model_Inference,0.002929,fp16,340
2024-07-10_15-52-37,Model_Inference,0.002920,fp16,294
2024-07-10_15-50-55,Model_Inference,0.002928,fp16,321
2024-07-10_15-48-15,Model_Inference,0.002941,fp16,324
2024-07-10_15-43-03,Model_Inference,0.002940,fp16,318
2024-07-11_14-15-08,Model_Inference,0.002969,fp16,401
2024-07-11_14-13-51,Model_Inference,0.002934,fp16,437
2024-07-11_14-18-28,Model_Inference,0.002981,fp16,378
2024-07-10_15-41-46,Model_Inference,0.002945,fp16,404
2024-07-11_14-03-31,Model_Inference,0.002939,fp16,487
frame_0,Model_Inference,0.006606,fp32,593
frame_50,Model_Inference,0.006359,fp32,592
frame_100,Model_Inference,0.006367,fp32,619
frame_150,Model_Inference,0.006365,fp32,538
frame_200,Model_Inference,0.006352,fp32,518
frame_250,Model_Inference,0.006353,fp32,503
frame_300,Model_Inference,0.006366,fp32,536
frame_350,Model_Inference,0.006370,fp32,502
frame_400,Model_Inference,0.006354,fp32,451
frame_0,Model_Inference,0.006623,fp32,571
frame_50,Model_Inference,0.006365,fp32,563
frame_100,Model_Inference,0.006365,fp32,540
frame_150,Model_Inference,0.006353,fp32,586
frame_200,Model_Inference,0.006362,fp32,627
frame_250,Model_Inference,0.006383,fp32,641
frame_300,Model_Inference,0.006364,fp32,583
frame_350,Model_Inference,0.006373,fp32,575
frame_400,Model_Inference,0.006379,fp32,588
frame_450,Model_Inference,0.006395,fp32,534
